1kp3, going forward on row,411,,,,
1kp3, found by createProdDict,,,,,
1kp3, is having scan date added,,,,,
1kp3, new scan date, 2021-11-07 added,,,,
1kp3, matches url,,,,,
33fq, going forward on row,275,,,,
33fq, found by createProdDict,,,,,
33fq, is having scan date added,,,,,
33fq, new scan date, 2021-11-07 added,,,,
33fq, matches url,,,,,
3h0k, going forward on row,267,,,,
3h0k, not found; timeout exception,,,,,
3hqn, going forward on row,421,,,,
3hqn, found by createProdDict,,,,,
3hqn, is having scan date added,,,,,
3hqn, new scan date, 2021-11-07 added,,,,
3hqn, matches url,,,,,
3ica, going forward on row,22,,,,
3ica, is having scan date added,,,,,
3ica, new scan date, 2021-11-07 added,,,,
3ica, matches url,,,,,
3ica found by createProdDict,,,,,,
3nlf, going forward on row,276,,,,
3nlf, found by createProdDict,,,,,
3nlf, is having scan date added,,,,,
3nlf, new scan date, 2021-11-07 added,,,,
3nlf, matches url,,,,,
3okt, going forward on row,515,,,,
3okt, found by createProdDict,,,,,
3okt, does not have a scan log,,,,,
3okt, matches url,,,,,
3r3i, going forward on row,233,,,,
3r3i, found by createProdDict,,,,,
3r3i, is having scan date added,,,,,
3r3i, new scan date, 2021-11-07 added,,,,
3r3i, matches url,,,,,
3r3j, going forward on row,439,,,,
3r3j, found by createProdDict,,,,,
3r3j, is having scan date added,,,,,
3r3j, new scan date, 2021-11-07 added,,,,
3r3j, matches url,,,,,
3r3q, going forward on row,282,,,,
3r3q, found by createProdDict,,,,,
3r3q, is having scan date added,,,,,
3r3q, new scan date, 2021-11-07 added,,,,
3r3q, matches url,,,,,
3r40, going forward on row,495,,,,
3r40, found by createProdDict,,,,,
3r40, is having scan date added,,,,,
3r40, new scan date, 2021-11-07 added,,,,
3r40, matches url,,,,,
3r5e, going forward on row,204,,,,
3r5e, found by createProdDict,,,,,
3r5e, is having scan date added,,,,,
3r5e, new scan date, 2021-11-07 added,,,,
3r5e, matches url,,,,,
3rt1, going forward on row,529,,,,
3rt1, found by createProdDict,,,,,
3rt1, is having scan date added,,,,,
3rt1, new scan date, 2021-11-07 added,,,,
3rt1, matches url,,,,,
3vu2, going forward on row,513,,,,
3vu2, found by createProdDict,,,,,
3vu2, is having scan date added,,,,,
3vu2, new scan date, 2021-11-07 added,,,,
3vu2, matches url,,,,,
3vub, going forward on row,261,,,,
3vub, found by createProdDict,,,,,
3vub, is having scan date added,,,,,
3vub, new scan date, 2021-11-07 added,,,,
3vub, matches url,,,,,
3vuc, going forward on row,409,,,,
3vuc, found by createProdDict,,,,,
3vuc, is having scan date added,,,,,
3vuc, new scan date, 2021-11-07 added,,,,
3vuc, matches url,,,,,
3vue, going forward on row,258,,,,
3vue, found by createProdDict,,,,,
3vue, is having scan date added,,,,,
3vue, new scan date, 2021-11-07 added,,,,
3vue, matches url,,,,,
3vv7, going forward on row,507,,,,
3vv7, not found; timeout exception,,,,,
3wcl, going forward on row,273,,,,
3wcl, found by createProdDict,,,,,
3wcl, is having scan date added,,,,,
3wcl, new scan date, 2021-11-07 added,,,,
3wcl, matches url,,,,,
44as, going forward on row,392,,,,
44as, not found; timeout exception,,,,,
4lge, going forward on row,434,,,,
4lge, not found; timeout exception,,,,,
51ws, going forward on row,106,,,,
51ws, found by createProdDict,,,,,
51ws, does not have a scan log,,,,,
51ws, matches url,,,,,
51x6, going forward on row,107,,,,
51x6, found by createProdDict,,,,,
51x6, does not have a scan log,,,,,
51x6, matches url,,,,,
5l25, going forward on row,54,,,,
5l25, found by createProdDict,,,,,
5l25, is having scan date added,,,,,
5l25, new scan date, 2021-11-07 added,,,,
5l25, matches url,,,,,
5lwn, going forward on row,116,,,,
5lwn, found by createProdDict,,,,,
5lwn, is having scan date added,,,,,
5lwn, new scan date, 2021-11-07 added,,,,
5lwn, matches url,,,,,
5lwp, going forward on row,108,,,,
5lwp, found by createProdDict,,,,,
5lwp, is having scan date added,,,,,
5lwp, new scan date, 2021-11-07 added,,,,
5lwp, matches url,,,,,
5lwt, going forward on row,555,,,,
5lwt, found by createProdDict,,,,,
5lwt, is having scan date added,,,,,
5lwt, new scan date, 2021-11-07 added,,,,
5lwt, matches url,,,,,
5lww, going forward on row,479,,,,
5lww, found by createProdDict,,,,,
5lww, does not have a scan log,,,,,
5lww, matches url,,,,,
5lww, going forward on row,479,,,,
5lww, found by createProdDict,,,,,
5lww, does not have a scan log,,,,,
5lww, matches url,,,,,
5lx2, going forward on row,141,,,,
5lx2, found by createProdDict,,,,,
5lx2, is having scan date added,,,,,
5lx2, new scan date, 2021-11-07 added,,,,
5lx2, matches url,,,,,
5lx3, going forward on row,198,,,,
5lx3, found by createProdDict,,,,,
5lx3, already has scan date recorded,2021-11-07,,,,
5lx3, matches url,,,,,
5lx5, going forward on row,29,,,,
5lx5, found by createProdDict,,,,,
5lx5, is having scan date added,,,,,
5lx5, new scan date, 2021-11-07 added,,,,
5lx5, matches url,,,,,
5lx7, going forward on row,30,,,,
5lx7, found by createProdDict,,,,,
5lx7, is having scan date added,,,,,
5lx7, new scan date, 2021-11-07 added,,,,
5lx7, matches url,,,,,
5lx9, going forward on row,120,,,,
5lx9, found by createProdDict,,,,,
5lx9, is having scan date added,,,,,
5lx9, new scan date, 2021-11-07 added,,,,
5lx9, matches url,,,,,
5lxa, going forward on row,121,,,,
5lxa, found by createProdDict,,,,,
5lxa, is having scan date added,,,,,
5lxa, new scan date, 2021-11-07 added,,,,
5lxa, matches url,,,,,
5lxe, going forward on row,117,,,,
5lxe, found by createProdDict,,,,,
5lxe, is having scan date added,,,,,
5lxe, new scan date, 2021-11-07 added,,,,
5lxe, matches url,,,,,
5lxf, going forward on row,51,,,,
5lxf, found by createProdDict,,,,,
5lxf, is having scan date added,,,,,
5lxf, new scan date, 2021-11-07 added,,,,
5lxf, matches url,,,,,
5lxh, going forward on row,114,,,,
5lxh, found by createProdDict,,,,,
5lxh, is having scan date added,,,,,
5lxh, new scan date, 2021-11-07 added,,,,
5lxh, matches url,,,,,
5lxi, going forward on row,57,,,,
5lxi, found by createProdDict,,,,,
5lxi, is having scan date added,,,,,
5lxi, new scan date, 2021-11-07 added,,,,
5lxi, matches url,,,,,
5lxn, going forward on row,265,,,,
5lxn, found by createProdDict,,,,,
5lxn, is having scan date added,,,,,
5lxn, new scan date, 2021-11-07 added,,,,
5lxn, matches url,,,,,
5lxo, going forward on row,25,,,,
5lxo, is having scan date added,,,,,
5lxo, new scan date, 2021-11-07 added,,,,
5lxo, matches url,,,,,
5lxo found by createProdDict,,,,,,
5lxu, going forward on row,123,,,,
5lxu, found by createProdDict,,,,,
5lxu, is having scan date added,,,,,
5lxu, new scan date, 2021-11-07 added,,,,
5lxu, matches url,,,,,
