0,l4g0,Zebra skirt,INW MultiCare Health Center,DEACONESS HOSPITAL,CATH LAB,Not Selected,2022-11-05 20:42:54.338635
1,g7oa,Vari-Flex,INW MultiCare Health Center,DEACONESS HOSPITAL,ACI/NM,Not Selected,2022-11-05 20:42:54.338635
2,ked1,no description,INW MultiCare Health Center,DEACONESS HOSPITAL,CATH LAB,Not Selected,2022-11-05 20:42:54.338635
3,5m32,hot pink/navy top,INW MultiCare Health Center,DEACONESS HOSPITAL,CATH LAB,Not Selected,2022-11-05 20:42:54.338635
4,5m2z,no description,INW MultiCare Health Center,DEACONESS HOSPITAL,CATH LAB,Not Selected,2022-11-05 20:42:54.338635
0,l4g0,Zebra skirt,INW MultiCare Health Center,DEACONESS HOSPITAL,CATH LAB,Not Selected,2022-11-05 20:42:54.360032
1,g7oa,Vari-Flex,INW MultiCare Health Center,DEACONESS HOSPITAL,ACI/NM,Not Selected,2022-11-05 20:42:54.360032
2,ked1,no description,INW MultiCare Health Center,DEACONESS HOSPITAL,CATH LAB,Not Selected,2022-11-05 20:42:54.360032
3,5m32,hot pink/navy top,INW MultiCare Health Center,DEACONESS HOSPITAL,CATH LAB,Not Selected,2022-11-05 20:42:54.360032
4,5m2z,no description,INW MultiCare Health Center,DEACONESS HOSPITAL,CATH LAB,Not Selected,2022-11-05 20:42:54.360032
0,l4g0,Zebra skirt,INW MultiCare Health Center,DEACONESS HOSPITAL,CATH LAB,Not Selected,2022-11-05 20:43:15.105609
1,g7oa,Vari-Flex,INW MultiCare Health Center,DEACONESS HOSPITAL,ACI/NM,Not Selected,2022-11-05 20:43:15.105609
2,ked1,no description,INW MultiCare Health Center,DEACONESS HOSPITAL,CATH LAB,Not Selected,2022-11-05 20:43:15.105609
3,5m32,hot pink/navy top,INW MultiCare Health Center,DEACONESS HOSPITAL,CATH LAB,Not Selected,2022-11-05 20:43:15.105609
4,5m2z,no description,INW MultiCare Health Center,DEACONESS HOSPITAL,CATH LAB,Not Selected,2022-11-05 20:43:15.105609
0,l4g0,Zebra skirt,INW MultiCare Health Center,DEACONESS HOSPITAL,CATH LAB,Not Selected,2022-11-05 20:43:15.112440
